step,grad_norm,loss
5,5.934413433074951,2.9439
10,4.929442882537842,2.8045
15,3.32010555267334,2.678
20,2.5983829498291016,2.4446
25,2.1773152351379395,2.269
30,1.6419851779937744,2.1845
35,1.3222260475158691,2.1449
40,1.418920636177063,2.1023
45,1.270950198173523,2.0861
50,1.3104426860809326,2.0298
55,1.362200379371643,2.0091
60,1.3371881246566772,2.1322
65,1.4625749588012695,2.0052
70,1.3135805130004883,2.039
75,1.2047388553619385,1.9457
80,1.5594885349273682,1.9704
85,1.4308390617370605,2.0342
90,1.2629154920578003,1.9904
95,1.4284266233444214,2.0561
100,1.3649983406066895,2.0673
105,1.1190029382705688,1.9785
110,1.3270467519760132,1.9177
115,1.4904543161392212,1.9234
120,1.2263696193695068,2.1285
125,1.2812336683273315,1.8955
130,1.3399158716201782,1.9503
135,1.5072052478790283,1.9545
140,1.244617223739624,1.9437
145,1.3247064352035522,1.929
150,1.3636709451675415,1.9364
155,1.1605359315872192,1.9302
160,1.2003027200698853,1.8882
165,1.5502527952194214,1.9261
170,1.2458703517913818,1.988
175,1.444397211074829,1.9284
180,1.2407828569412231,1.8832
185,1.4019370079040527,1.977
190,1.4513897895812988,1.8866
195,1.247563362121582,1.8234
200,1.2266051769256592,1.8766
205,1.3607200384140015,1.9794
210,1.248158574104309,1.9038
215,1.4288603067398071,1.9705
220,1.3750649690628052,1.9686
225,1.2797605991363525,1.8908
230,1.2641427516937256,1.879
235,1.4116549491882324,1.9571
240,1.3126863241195679,1.8311
245,1.2072087526321411,1.9106
250,1.3430310487747192,1.9727
255,1.22752845287323,1.9134
260,1.3038946390151978,1.9701
265,1.4608672857284546,1.9914
270,1.31541109085083,1.9754
275,1.245850920677185,1.9599
280,1.3650965690612793,1.9349
285,1.2639997005462646,2.0667
290,1.3052279949188232,2.0304
295,1.325260043144226,1.8517
300,1.5214810371398926,1.9287
305,1.3909779787063599,1.8411
310,1.3014962673187256,1.8509
315,1.4803636074066162,1.9719
320,1.3946053981781006,2.0023
325,1.4119046926498413,1.8479
330,1.4918872117996216,1.9396
335,1.2642085552215576,1.9344
340,1.4124778509140015,2.0146
345,1.971877932548523,1.9354
350,1.3306117057800293,1.9416
355,1.463936686515808,1.9427
360,1.2582288980484009,1.9823
365,1.2636419534683228,1.8779
370,1.331369400024414,1.791
375,1.6527788639068604,1.9396
380,1.5022307634353638,1.8756
385,1.412227749824524,1.8835
390,1.270625114440918,1.8878
395,1.3688329458236694,1.9482
400,1.5015959739685059,1.7774
405,1.4789280891418457,1.868
410,1.3303000926971436,1.9333
415,1.3819146156311035,1.9141
420,1.3851438760757446,1.9226
425,1.313603401184082,1.9358
430,1.3480629920959473,1.8465
435,1.4391835927963257,1.9406
440,1.4055910110473633,1.8309
445,1.4496772289276123,1.8529
450,1.4502227306365967,1.8853
